=== Учёт времени ===
ID,Часы,Действия,ActionID
0,00:00,Сон,SLEEP
1,00:30,Сон,SLEEP
2,01:00,Сон,SLEEP
3,01:30,Сон,SLEEP
4,02:00,Сон,SLEEP
5,02:30,Сон,SLEEP
6,03:00,Сон,SLEEP
7,03:30,Сон,SLEEP
8,04:00,Сон,SLEEP
9,04:30,Сон,SLEEP
10,05:00,Сон,SLEEP
11,05:30,Сон,SLEEP
12,06:00,Сон,SLEEP
13,06:30,Сон,SLEEP
14,07:00,Сон,SLEEP
15,07:30,Сон,SLEEP
16,08:00,Свободно,NULL
17,08:30,Свободно,NULL
18,09:00,Свободно,NULL
19,09:30,Свободно,NULL
20,10:00,Свободно,NULL
21,10:30,Свободно,NULL
22,11:00,Свободно,NULL
23,11:30,Свободно,NULL
24,12:00,Свободно,NULL
25,12:30,Свободно,NULL
26,13:00,Свободно,NULL
27,13:30,Свободно,NULL
28,14:00,Свободно,NULL
29,14:30,Свободно,NULL
30,15:00,Свободно,NULL
31,15:30,Свободно,NULL
32,16:00,Свободно,NULL
33,16:30,Свободно,NULL
34,17:00,Свободно,NULL
35,17:30,Свободно,NULL
36,18:00,Свободно,NULL
37,18:30,Свободно,NULL
38,19:00,Свободно,NULL
39,19:30,Свободно,NULL
40,20:00,Свободно,NULL
41,20:30,Свободно,NULL
42,21:00,Свободно,NULL
43,21:30,Свободно,NULL
44,22:00,Свободно,NULL
45,22:30,Свободно,NULL
46,23:00,Свободно,NULL
47,23:30,Свободно,NULL
